[0.000000] (-) TimerEvent: {}
[0.000170] (my_box_bot_gazebo) JobQueued: {'identifier': 'my_box_bot_gazebo', 'dependencies': OrderedDict()}
[0.131300] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//launch\n'}
[0.131448] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//launch/start_world.launch.py\n'}
[0.131597] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//launch/spawn_robot_ros2.launch.xml\n'}
[0.131742] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//launch/spawn_robot_description.launch.py\n'}
[0.131889] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//launch/publish_urdf.launch.py\n'}
[0.132034] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//worlds\n'}
[0.132297] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//worlds/box_bot_empty.world\n'}
[0.132405] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models\n'}
[0.132507] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/urdf_autocar\n'}
[0.132609] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/urdf_autocar/urdf\n'}
[0.132709] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/urdf_autocar/urdf/autocar.xacro\n'}
[0.132811] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/urdf_autocar/meshes\n'}
[0.132913] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/urdf_autocar/meshes/chassis_link.stl\n'}
[0.133017] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/urdf_autocar/meshes/br_1.stl\n'}
[0.133092] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/urdf_autocar/meshes/hokuyo.dae\n'}
[0.133143] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/urdf_autocar/meshes/fr_1.stl\n'}
[0.133191] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/urdf_autocar/meshes/bl_1.stl\n'}
[0.133388] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/urdf_autocar/meshes/lds.dae\n'}
[0.133448] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/urdf_autocar/meshes/chassis_link2.stl\n'}
[0.133504] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/urdf_autocar/meshes/tire.dae\n'}
[0.133581] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/urdf_autocar/meshes/fl_1.stl\n'}
[0.133640] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/box_room\n'}
[0.133775] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/box_room/model.sdf\n'}
[0.133832] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/box_room/model.config\n'}
[0.133888] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/box_room/meshes\n'}
[0.133993] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/box_room/meshes/box_room.dae\n'}
[0.134074] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/box_room/meshes/chambre.png\n'}
[0.134150] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/prius\n'}
[0.134536] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/prius/package.xml\n'}
[0.134618] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/prius/urdf\n'}
[0.134673] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/prius/urdf/prius.urdf\n'}
[0.134847] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/prius/meshes\n'}
[0.135316] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/prius/meshes/Hybrid.png\n'}
[0.135923] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/prius/meshes/Hybrid_Interior.png\n'}
[0.135982] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/prius/meshes/wheel.mtl\n'}
[0.136036] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/prius/meshes/hybrid_body.obj\n'}
[0.136104] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/prius/meshes/Wheels3.png\n'}
[0.136162] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/prius/meshes/steering_wheel.obj\n'}
[0.136268] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/prius/meshes/hybrid_body.mtl\n'}
[0.136354] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/prius/meshes/steering_wheel.mtl\n'}
[0.136415] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/prius/meshes/wheel.obj\n'}
[0.136474] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/autocar\n'}
[0.136538] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Installing: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/autocar/model.sdf\n'}
[0.136597] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/autocar/model.config\n'}
[0.136647] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/autocar/meshes\n'}
[0.137196] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/share/my_box_bot_gazebo//models/autocar/meshes/chassis_link.stl\n'}
